Timestamp,Tvořivost,Výživa,Meditace,Učení,Empatie,Statečnost,Radost,Psaní,Čtení,Malba,Vaření,Jóga,Cestování,Fotografie,Dobrovolnictví,Plavání,Cyklistika,Mír,Umění,Hudba,Příroda,Humor,Vzdělávání,Krása,Přátelství,Láska,Naděje,Moudrost,Divadelní_hra,Zdraví,Odraz_vlnění,Inovace,Spiritualita,Diverzita,Kultura,Vůdcovství,Objevitelská_cesta,Dorozumívání,Nezávislost,Respekt,Motivace,Produktivita,Diplomacie,Autorita,Čest,Etika,Štěstí,Filantropie,Pokora
2019-01-01,1972,1972,1686,1972,4338,1972,491,1972,1972,970,1972,1972,1972,3324,1972,1972,896,1972,1972,2599,1972,822,1972,1972,1972,1972,1972,589,1972,1972,1972,1312,869,872,3954,1972,1972,1972,1972,951,2467,994,624,1277,1972,4546,1972,5182,2659
2019-02-01,1422,1422,1493,1422,3434,1422,363,1422,1422,670,1422,1422,1422,2601,1422,1422,846,1422,1422,2123,1422,821,1422,1422,1422,1422,1422,521,1422,1422,1422,625,666,1065,2552,1422,1422,1422,1422,775,1335,631,619,786,1422,2875,1422,3007,2056
2019-03-01,1601,1601,1513,1601,3728,1601,434,1601,1601,724,1601,1601,1601,2696,1601,1601,1097,1601,1601,2497,1601,688,1601,1601,1601,1601,1601,482,1601,1601,1601,880,795,845,3107,1601,1601,1601,1601,766,1875,880,706,1044,1601,3226,1601,3287,2347
2019-04-01,1592,1592,1409,1592,3103,1592,378,1592,1592,772,1592,1592,1592,2394,1592,1592,1417,1592,1592,2180,1592,669,1592,1592,1592,1592,1592,479,1592,1592,1592,939,734,837,3019,1592,1592,1592,1592,820,1816,737,641,930,1592,3002,1592,4851,2297
2019-05-01,1830,1830,1786,1830,3815,1830,414,1830,1830,960,1830,1830,1830,2703,1830,1830,1247,1830,1830,2312,1830,939,1830,1830,1830,1830,1830,472,1830,1830,1830,1306,727,983,3318,1830,1830,1830,1830,671,2492,922,691,1176,1830,4482,1830,4592,2419
2019-06-01,1383,1383,1259,1383,3241,1383,295,1383,1383,680,1383,1383,1383,1987,1383,1383,1077,1383,1383,1867,1383,825,1383,1383,1383,1383,1383,422,1383,1383,1383,921,593,1046,2429,1383,1383,1383,1383,745,1477,688,524,867,1383,2940,1383,2775,2386
2019-07-01,1049,1049,1446,1049,2871,1049,271,1049,1049,435,1049,1049,1049,1535,1049,1049,1091,1049,1049,1108,1049,614,1049,1049,1049,1049,1049,480,1049,1049,1049,450,508,599,1052,1049,1049,1049,1049,610,770,421,464,539,1049,1257,1049,3447,2058
2019-08-01,1109,1109,1477,1109,2880,1109,288,1109,1109,450,1109,1109,1109,1902,1109,1109,797,1109,1109,1104,1109,614,1109,1109,1109,1109,1109,457,1109,1109,1109,513,804,527,1280,1109,1109,1109,1109,696,972,357,455,559,1109,1712,1109,3501,1934
2019-09-01,1436,1436,1324,1436,3771,1436,362,1436,1436,757,1436,1436,1436,2758,1436,1436,762,1436,1436,2466,1436,731,1436,1436,1436,1436,1436,539,1436,1436,1436,777,737,626,3200,1436,1436,1436,1436,738,1161,471,502,742,1436,2845,1436,3112,1769
2019-10-01,1736,1736,1625,1736,4257,1736,374,1736,1736,874,1736,1736,1736,2777,1736,1736,859,1736,1736,2866,1736,986,1736,1736,1736,1736,1736,646,1736,1736,1736,870,894,888,3722,1736,1736,1736,1736,843,1879,683,668,1011,1736,3436,1736,3674,2634
2019-11-01,1870,1870,1670,1870,4386,1870,473,1870,1870,1009,1870,1870,1870,3536,1870,1870,904,1870,1870,2882,1870,1025,1870,1870,1870,1870,1870,543,1870,1870,1870,1094,994,931,4107,1870,1870,1870,1870,899,2795,737,702,1484,1870,3549,1870,2807,2734
2019-12-01,1646,1646,1529,1646,4174,1646,386,1646,1646,908,1646,1646,1646,3133,1646,1646,694,1646,1646,2161,1646,783,1646,1646,1646,1646,1646,547,1646,1646,1646,904,764,777,3140,1646,1646,1646,1646,839,2226,660,791,1234,1646,3361,1646,3033,2530
2020-01-01,2165,2165,1997,2165,5862,2165,441,2165,2165,1054,2165,2165,2165,3805,2165,2165,915,2165,2165,2768,2165,1226,2165,2165,2165,2165,2165,673,2165,2165,2165,1436,894,1128,4401,2165,2165,2165,2165,906,3248,956,794,1333,2165,4549,2165,4545,2525
2020-02-01,1568,1568,1738,1568,4472,1568,418,1568,1568,859,1568,1568,1568,2717,1568,1568,890,1568,1568,2108,1568,1005,1568,1568,1568,1568,1568,580,1568,1568,1568,795,718,1349,2854,1568,1568,1568,1568,802,1765,565,598,891,1568,2853,1568,2573,2379
2020-03-01,1957,1957,1945,1957,4532,1957,438,1957,1957,1083,1957,1957,1957,3169,1957,1957,993,1957,1957,2610,1957,1254,1957,1957,1957,1957,1957,516,1957,1957,1957,1008,759,823,4606,1957,1957,1957,1957,776,2363,741,738,1589,1957,4254,1957,4013,2887
2020-04-01,2145,2145,1811,2145,4519,2145,542,2145,2145,1087,2145,2145,2145,3356,2145,2145,1583,2145,2145,3022,2145,1374,2145,2145,2145,2145,2145,728,2145,2145,2145,1326,946,896,5263,2145,2145,2145,2145,791,2786,850,964,1571,2145,4953,2145,4208,2459
2020-05-01,2217,2217,1872,2217,3960,2217,405,2217,2217,1264,2217,2217,2217,3598,2217,2217,1285,2217,2217,2843,2217,1792,2217,2217,2217,2217,2217,630,2217,2217,2217,1601,863,1148,5176,2217,2217,2217,2217,795,3016,854,971,1681,2217,5046,2217,5029,2725
2020-06-01,1818,1818,1343,1818,3406,1818,360,1818,1818,964,1818,1818,1818,2747,1818,1818,1138,1818,1818,2909,1818,1265,1818,1818,1818,1818,1818,578,1818,1818,1818,1456,813,1769,4465,1818,1818,1818,1818,968,2601,836,854,1169,1818,3679,1818,3086,1766
2020-07-01,1032,1032,1227,1032,2866,1032,375,1032,1032,560,1032,1032,1032,1629,1032,1032,800,1032,1032,1651,1032,932,1032,1032,1032,1032,1032,441,1032,1032,1032,817,748,724,1204,1032,1032,1032,1032,606,957,403,416,570,1032,1426,1032,1942,1378
