Timestamp,Přátelství,Příbuzenství,Empatie,Rota,Aliance,Patří_k_organizaci,Symbióza,Rodina,Klan,Choť,Manželství,Poklad,Člověk,Altruismus,Komunita,Zasnoubení,Respekt,Filantropie,Láska,Chemie,Cenný_papír,Dorozumívání,Skupina,Společnost,Kmen,Kružnice,Systém,Organizace,Korelace,Věty_o_shodnosti_trojúhelníku,Kloub,Loajalita,Harmonie,Sjednocení,Solidarita,Potomek,Touha,Chtíč,Polibek,Spolupráce,Přejícnost,Převrácená_hodnota,Elektrická_pojistka,Dluhopis,Aranžmá,Obrazová_kompozice,Hlásková_spodoba,Konsenzus,Konformita
2019-01-01,1863,1863,4338,1464,578,1863,1863,4898,401,1863,1863,203,1863,3824,906,1863,951,5182,1863,2359,1863,1863,355,1863,172,1863,1863,742,5529,1863,1801,2319,985,1863,1102,263,434,1863,1194,1863,1863,1863,1863,3544,1863,1863,1863,1669,1361
2019-02-01,1295,1295,3434,1284,327,1295,1295,3100,371,1295,1295,162,1295,2867,606,1295,775,3007,1295,1653,1295,1295,250,1295,184,1295,1295,590,2880,1295,1257,2009,733,1295,739,323,320,1295,946,1295,1295,1295,1295,2360,1295,1295,1295,1019,1183
2019-03-01,1447,1447,3728,1499,353,1447,1447,3628,341,1447,1447,174,1447,3381,720,1447,766,3287,1447,1674,1447,1447,238,1447,141,1447,1447,531,3652,1447,1459,2141,712,1447,1107,187,349,1447,1114,1447,1447,1447,1447,2677,1447,1447,1447,1185,1123
2019-04-01,1377,1377,3103,1127,314,1377,1377,3146,333,1377,1377,140,1377,2387,630,1377,820,4851,1377,1593,1377,1377,234,1377,138,1377,1377,627,4086,1377,1101,1947,682,1377,876,140,386,1377,1049,1377,1377,1377,1377,2480,1377,1377,1377,1181,1054
2019-05-01,1811,1811,3815,1174,496,1811,1811,4445,318,1811,1811,165,1811,7035,750,1811,671,4592,1811,1747,1811,1811,300,1811,143,1811,1811,765,5292,1811,1683,1857,726,1811,1168,178,337,1811,1010,1811,1811,1811,1811,3488,1811,1811,1811,1585,1526
2019-06-01,1297,1297,3241,1301,263,1297,1297,2870,302,1297,1297,167,1297,3676,586,1297,745,2775,1297,1645,1297,1297,193,1297,110,1297,1297,526,3771,1297,1183,1656,500,1297,836,148,287,1297,768,1297,1297,1297,1297,2872,1297,1297,1297,1144,859
2019-07-01,1042,1042,2871,1395,179,1042,1042,1687,271,1042,1042,504,1042,3792,415,1042,610,3447,1042,1089,1042,1042,140,1042,104,1042,1042,344,1578,1042,804,1776,426,1042,402,153,304,1042,824,1042,1042,1042,1042,1621,1042,1042,1042,724,596
2019-08-01,1083,1083,2880,1339,207,1083,1083,2024,287,1083,1083,153,1083,3085,468,1083,696,3501,1083,1256,1083,1083,182,1083,102,1083,1083,455,1787,1083,767,1994,480,1083,472,179,260,1083,755,1083,1083,1083,1083,2181,1083,1083,1083,787,789
2019-09-01,1451,1451,3771,1206,209,1451,1451,4169,290,1451,1451,160,1451,3059,546,1451,738,3112,1451,5774,1451,1451,242,1451,176,1451,1451,550,1920,1451,1400,2071,638,1451,761,168,291,1451,751,1451,1451,1451,1451,2455,1451,1451,1451,976,850
2019-10-01,2790,2790,4257,1302,257,2790,2790,4830,295,2790,2790,190,2790,32699,710,2790,843,3674,2790,3407,2790,2790,210,2790,214,2790,2790,628,3058,2790,2535,2171,797,2790,868,180,311,2790,968,2790,2790,2790,2790,2840,2790,2790,2790,1236,1265
2019-11-01,1838,1838,4386,1295,278,1838,1838,5092,320,1838,1838,168,1838,7627,904,1838,899,2807,1838,2690,1838,1838,253,1838,185,1838,1838,709,3505,1838,2026,2071,847,1838,1233,238,338,1838,1154,1838,1838,1838,1838,4268,1838,1838,1838,1388,1269
2019-12-01,1744,1744,4174,1322,274,1744,1744,3814,656,1744,1744,162,1744,7293,791,1744,839,3033,1744,2163,1744,1744,252,1744,156,1744,1744,687,4408,1744,1565,2330,687,1744,1093,203,343,1744,1106,1744,1744,1744,1744,3647,1744,1744,1744,1238,1367
2020-01-01,2125,2125,5862,1557,349,2125,2125,4875,414,2125,2125,171,2125,7441,844,2125,906,4545,2125,2432,2125,2125,318,2125,187,2125,2125,938,5518,2125,2115,2532,855,2125,1147,232,350,2125,1148,2125,2125,2125,2125,4829,2125,2125,2125,1809,1758
2020-02-01,1436,1436,4472,1296,271,1436,1436,3063,328,1436,1436,179,1436,4922,619,1436,802,2573,1436,2039,1436,1436,380,1436,121,1436,1436,577,2888,1436,1543,1872,622,1436,1020,204,284,1436,997,1436,1436,1436,1436,2956,1436,1436,1436,955,909
2020-03-01,1968,1968,4532,1594,344,1968,1968,4977,372,1968,1968,212,1968,6152,970,1968,776,4013,1968,2680,1968,1968,427,1968,222,1968,1968,795,4000,1968,2443,1963,907,1968,2499,230,281,1968,977,1968,1968,1968,1968,5414,1968,1968,1968,1133,1280
2020-04-01,1990,1990,4519,1843,409,1990,1990,5036,897,1990,1990,254,1990,4373,1057,1990,791,4208,1990,2760,1990,1990,321,1990,277,1990,1990,883,4507,1990,2246,2535,1016,1990,2881,228,387,1990,1059,1990,1990,1990,1990,4421,1990,1990,1990,1223,1620
2020-05-01,2097,2097,3960,1777,486,2097,2097,8355,439,2097,2097,261,2097,4838,1407,2097,795,5029,2097,2379,2097,2097,331,2097,361,2097,2097,909,4917,2097,2011,1929,945,2097,2189,275,388,2097,1149,2097,2097,2097,2097,3933,2097,2097,2097,1520,1837
2020-06-01,1628,1628,3406,1409,374,1628,1628,4441,400,1628,1628,241,1628,3657,939,1628,968,3086,1628,2068,1628,1628,349,1628,278,1628,1628,749,4755,1628,1654,1867,759,1628,1276,243,339,1628,1040,1628,1628,1628,1628,3441,1628,1628,1628,1357,1598
2020-07-01,1040,1040,2866,1268,265,1040,1040,1657,405,1040,1040,208,1040,3207,521,1040,606,1942,1040,1363,1040,1040,253,1040,169,1040,1040,548,2066,1040,909,1442,511,1040,573,292,351,1040,1193,1040,1040,1040,1040,1954,1040,1040,1040,748,692
